name,rpoS,hapR
VC0097,0.47,-0.33
VC0098,-1.04,-0.13
VC0216,0.22,0.79
VC0282,1.35,0.83
VC0449,0.26,0.36
VC0462,-0.03,0.28
VC0463,-0.66,0.03
VC0512,0.11,-0.16
VC0514,-0.2,0.03
VC0892,-0.35,-0.64
VC0893,-0.74,-0.5
VC1008,-0.29,-0.12
VC1248,-3.44,-1.22
VC1289,-0.01,0.08
VC1298,-0.03,0.94
VC1313,0.05,1.2
VC1316,-1.33,0.27
VC1394,-1.3,-1.02
VC1397,-1.8,-1.61
VC1398,-1.72,-1.83
VC1399,-1.64,-1.52
VC1401,-1.91,-1.84
VC1402,-2.38,-1.69
VC1403,-1.66,-1.44
VC1405,-1.12,-0.55
VC1406,-1.37,-0.16
VC1413,-0.16,0.12
VC1535,0.04,-0.17
VC1602,-1.22,-0.57
VC1612,-0.31,-0.27
VC1643,-1.18,-0.1
VC1763,-0.28,-0.19
VC1859,0.16,0.15
VC1868,-1.59,-0.81
VC1898,-0.04,0.8
VC1967,-0.49,-0.41
VC2006,-0.34,0.06
VC2059,-2.06,-0.94
VC2062,-1.62,-0.8
VC2063,-1.1,-0.5
VC2064,-0.4,-0.51
VC2065,-1.03,-0.82
VC2066,-0.81,0.09
VC2067,-1.58,-0.32
VC2068,-1.63,-0.09
VC2069,-1.07,0.53
VC2120,-0.64,-0.46
VC2121,-0.56,-0.41
VC2122,-1.06,-0.65
VC2123,-1.28,-0.39
VC2124,-1.21,-0.47
VC2125,-1.75,-0.61
VC2126,-1.38,-0.36
VC2127,-0.87,-0.48
VC2128,-0.81,-0.17
VC2129,-1.09,-0.4
VC2131,-1,-0.43
VC2132,-1.39,-0.33
VC2133,-1.49,0
VC2134,-0.81,0.29
VC2135,-0.89,0.07
VC2136,-0.42,0.49
VC2137,0.19,0.45
VC2138,-1.16,-0.67
VC2139,-1.53,-0.93
VC2140,-0.66,-0.47
VC2141,-1.74,-0.92
VC2142,-2.25,-0.95
VC2143,-2.49,-1.06
VC2144,-1.5,-0.75
VC2161,-1.7,-0.54
VC2187,-3.23,-1.42
VC2188,-2.05,-0.51
VC2190,-1.45,-0.33
VC2191,-0.65,-0.23
VC2192,-1.54,-0.11
VC2193,-1.53,-0.34
VC2194,-1.94,-0.46
VC2195,-1.94,-0.5
VC2196,-1.81,-0.74
VC2197,-2.13,-0.29
VC2198,-2.2,-0.34
VC2199,-1.61,-0.46
VC2200,-1.78,-0.36
VC2201,-1.67,-0.8
VC2202,-1.28,-0.68
VC2203,0.16,0.06
VC2439,-0.11,-0.19
VCA0008,-1.58,0.06
VCA0031,-0.27,-0.49
VCA0068,0.35,0.67
VCA0176,0.16,0.13
VCA0268,-1.82,-0.83
VCA0658,0.1,0.22
VCA0663,0.72,1.19
VCA0773,0.33,0.59
VCA0864,1.37,1.35
VCA0906,-0.4,0.94
VCA0923,0.12,1.28
VCA0954,0.56,0.25
VCA0974,0.08,0.17
VCA0979,-0.08,-0.26
VCA0988,-0.28,-0.07
VCA1034,-0.87,-0.15
VCA1056,-1.01,-0.77
VCA1069,-0.04,0.93
VCA1088,-1.95,-1.07
VCA1090,-1.68,-1.18
VCA1091,-3.01,-1.87
VCA1092,-2.76,-1.49
VCA1093,-3.33,-2.07
VCA1094,-2.69,-1.59
VCA1095,-1.57,-0.77
VCA1096,-2.25,-1.28