name,log2_hapr,SAM
VC0010,1.48,1.72
VC0199,1.26,2.71
VC0200,2.17,3.68
VC0385,1.11,1.89
VC0386,1.1,1.95
VC0583,-1.31,-2.62
VC0771,1.11,1.84
VC0784,1.39,2.58
VC0916,1.57,2.12
VC0917,1.22,2.54
VC0918,1.33,2.4
VC0920,1.07,2.31
VC0928,1.85,1.97
VC0930,1.38,2.37
VC0932,1.25,1.86
VC0934,1.02,2.37
VC0935,1.09,1.95
VC0968,2.02,3.13
VC1085,-1.04,-2.53
VC1091,1.22,2.04
VC1189,-1.73,-3.6
VC1248,-1.22,-2.26
VC1281,-1.48,-3.24
VC1313,1.2,1.87
VC1370,-1.07,-2.75
VC1394,-1.02,-2.1
VC1395,-1.54,-3.31
VC1397,-1.61,-2.89
VC1398,-1.83,-3.09
VC1399,-1.52,-2.35
VC1400,-2.08,-3.95
VC1401,-1.84,-3.13
VC1402,-1.69,-3.41
VC1403,-1.44,-3.41
VC1671,1.05,2.75
VC1710,-1.05,-2.25
VC1819,1.26,1.33
VC1888,2.22,2
VC1929,1.15,2.74
VC1934,-1.13,-2.52
VC1991,-1.25,-2.49
VC2005,-1.01,-2.42
VC2143,-1.06,-2.29
VC2187,-1.42,-2.7
VC2210,1.11,1.32
VC2211,1.26,2.11
VC2212,1.44,2.22
VC2324,1.54,1.75
VC2340,-1.02,-2.25
VC2416,1.02,1.54
VC2615,1.21,2.19
VC2618,1.14,2.66
VC2667,2.58,4.24
VC2717,-1.1,-2.94
VC2758,1.13,2.98
VCA0034,-1.09,-2.02
VCA0059,-1.16,-1.73
VCA0083,1.62,2.16
VCA0152,-1.19,-2.76
VCA0156,-1.06,-2.77
VCA0186,-1.19,-2.09
VCA0219,1.78,2.8
VCA0223,-1.03,-1.47
VCA0576,1.73,2.48
VCA0663,1.19,2.18
VCA0688,-1.7,-2.35
VCA0689,-2.68,-3.98
VCA0690,-2.63,-3.76
VCA0691,-1.79,-2.35
VCA0812,-1.98,-3.08
VCA0813,-1.71,-3.3
VCA0849,1.79,3.44
VCA0864,1.35,2.24
VCA0865,-3.72,-4.69
VCA0880,-2.41,-3.9
VCA0881,-3.17,-5.3
VCA0882,-1.82,-1.7
VCA0883,-2.64,-3.75
VCA0884,-2.3,-3.24
VCA0907,1,1.28
VCA0908,1.44,2.84
VCA0909,1.45,2
VCA0910,1.31,1.46
VCA0911,1.05,1.8
VCA0913,1.18,2.46
VCA0923,1.28,2.52
VCA0935,-2.82,-4.39
VCA0952,1.49,2.28
VCA0960,1.28,2.66
VCA1073,1.35,3.05
VCA1086,-1.18,-2.14
VCA1088,-1.07,-2.23
VCA1089,-1.38,-2.81
VCA1090,-1.18,-1.95
VCA1091,-1.87,-4.24
VCA1092,-1.49,-3.33
VCA1093,-2.07,-4.35
VCA1094,-1.59,-3.43
VCA1096,-1.28,-3.53
VCA1097,-1.59,-2.55